Article No.,EAN4003773-,Applications,Capacity in square millimetresmm²,AWG,Number of crimping positions,Length (mm),Weight (g),,,,,,,
70 07 180,18179,,"4,0","3,00","2,50",180,269,,,,,,,
70 11 110,18193,,"3,0","2,00","1,20",110,91,,,,,,,
70 15 110,29649,,"3,0","2,00","1,20",110,98,,,,,,,
70 26 160,18223,,"4,0",,,160,216,,,,,,,
Article No.,EAN4003773-,,Style,Ø mm,Ø mm,Ø mm,Ø mm,mm,g,,,,,
71 01 200,33165,,0,"6,0","5,20","4,00","3,60",200,335,,,,,
71 02 200,47056,,0,"6,0","5,20","4,00","3,60",200,365,,,,,
71 02 200 T,80046,,0,"6,0","5,20","4,00","3,60",200,375,,,,,
71 12 200,66859,,1,"6,0","5,20","4,00","3,60",200,375,,,,,
71 21 200,66866,,2,"6,0","5,20","4,00","3,60",200,320,,,,,
71 22 200,66873,,2,"6,0","5,20","4,00","3,60",200,375,,,,,
71 22 200 T,80053,,2,"6,0","5,20","4,00","3,60",200,370,,,,,
71 31 200,42327,,3,"6,0","5,20","4,00","3,60",200,330,,,,,
71 32 200,66880,,3,"6,0","5,20","4,00","3,60",200,370,,,,,
71 32 200 T,80060,,3,"6,0","5,20","4,00","3,60",200,380,,,,,
71 41 200,66897,,4,"6,0","5,20","4,00","3,60",200,335,,,,,
Article No.,EAN4003773-,HRC 19Ø mm,HRC 40Ø mm,HRC 48Ø mm,mm,g,,,,,,,,
71 72 460,66750,"8,00","6,00","5,00",460,2100,,,,,,,,
71 72 610,66767,"9,00","8,00","7,00",610,2550,,,,,,,,
71 72 760,66774,"11,00","9,00","8,00",760,4250,,,,,,,,
71 72 910,66781,"13,00","10,00","9,00",910,4950,,,,,,,,
Article No.,EAN4003773-,,Inch,mm,Adjustment positions,B1mm,B2mm,B3mm,mm,g,,,,
86 01 180,84273,,1 1/2,40,15,"5,00","8,00","12,00",180,245,,,,
86 01 180 SB,84303,,1 1/2,40,15,"5,00","8,00","12,00",180,245,,,,
86 01 250,82385,,2,52,19,"8,00","8,00","14,00",250,457,,,,
86 01 300 SB,84679,,2 1/2,68,24,"9,50","15,00","9,50",300,645,,,,
86 02 180,84280,,1 1/2,40,15,"5,00","8,00","12,00",180,270,,,,
86 02 180 SB,84310,,1 1/2,40,15,"5,00","8,00","12,00",180,270,,,,
86 02 250,82392,,2,52,19,"8,00","8,00","14,00",250,468,,,,
86 03 125,77497,,8-Jul,23,11,"3,00","5,00","9,50",125,105,,,,
86 03 150,69676,,1,27,14,"4,70","7,00","10,50",150,175,,,,
86 03 180,35466,,1 1/2,40,15,"5,00","8,00","12,00",180,254,,,,
86 03 250,33837,,2,52,19,"8,00","8,00","14,00",250,536,,,,
86 03 300,41429,,2 3/8,60,22,"9,50","9,50","15,00",300,729,,,,
86 05 150,69928,,1,27,14,"4,70","7,00","10,50",150,193,,,,
86 05 180,47162,,1 1/2,40,15,"5,00","8,00","12,00",180,277,,,,
86 05 180 T,80121,,1 3/8,35,13,"5,00","8,00","12,00",180,280,,,,
86 05 250,47841,,2,52,19,"8,00","8,00","14,00",250,571,,,,
86 05 250 T,80138,,1 3/4,46,19,"8,00","8,00","14,00",250,580,,,,
86 06 250,82408,,2,52,19,"8,00","8,00","14,00",250,515,,,,
86 43 250,81296,,1 3/4,46,17,"8,00","8,00","14,00",250,540,,,,
Article No.,EAN4003773-,,Inch,mm,Adjustment positions,B1mm,B2mm,B3mm,mm,g,,,,
86 03 400,77312,,3 3/8,85,25,"12,50","16,00","20,00",400,1460,,,,
No.,EAN,Pliers,Head,Handles,Adjustment positions,,,,,,,,,
87 01 150,4.00E+12,grey atramentized,polished,with non-slip plastic coating,11,1 1/4 Ø Inch,32 Ø mm,30 mm,150 mm,145 g,,,,
No.,EAN,Pliers,Head,Handles,Adjustment positions,Nominal size,"Capacity for Pipes, inches (diameter)",Capacity for Pipe ,Capacity for Nuts,Length (mm),Weight (g),,,
87 01 180,4.00E+12,grey atramentized,polished,with non-slip plastic coating,18,180 mm,1 1/2 Ø Inch,42 Ø mm,36 mm,180 mm,170 g,,,
87 01 250,4.00E+12,grey atramentized,polished,with non-slip plastic coating,25,250 mm,2 Ø Inch,50 Ø mm,46 mm,250 mm,335 g,,,
87 01 250,4.00E+12,grey atramentized,polished,with non-slip plastic coating,25,250 mm,2 Ø Inch,50 Ø mm,46 mm,250 mm,335 g,,,
87 01 250,4.00E+12,grey atramentized,polished,with non-slip plastic coating,25,250 mm,2 Ø Inch,50 Ø mm,46 mm,250 mm,335 g,,,
87 01 250,4.00E+12,grey atramentized,polished,with non-slip plastic coating,25,250 mm,2 Ø Inch,50 Ø mm,46 mm ,250 mm,335 g,,,
88 01 250,4.00E+12,black atramentized,polished,with non-slip plastic coating,9,250 mm,2 Ø Inch,50 Ø mm,46 mm,250 mm,319 g,,,
88 01 300,4.00E+12,black atramentized,polished,with non-slip plastic coating,9,300 mm,2 3/4 Ø Inch,70 Ø mm,60 mm,300 mm,511 g,,,
No.,EAN,Pliers,Handles,Style,Size of bore,Tips (diameter),Style,Length (mm),Weight (g),,,,,
48 11 J1,4.00E+12,grey atramentized,with non-slip plastic coating,1,12 - 25 Ø mm,"1,3 Ø mm",straight tips,140 mm,105 g,,,,,
48 11 J2,4.00E+12,grey atramentized,with non-slip plastic coating,1,19 - 60 Ø mm,"1,8 Ø mm",straight tips,180 mm,175 g,,,,,
48 21 J21,4.00E+12,grey atramentized,with non-slip plastic coating,2,19 - 60 Ø mm,"1,8 Ø mm",bent tips,165 mm,175 g,,,,,
48 21 J31,4.00E+12,grey atramentized,with non-slip plastic coating,2,40 - 100 Ø mm,"2,3 Ø mm",,210 mm,265 g,,,,,
49 11 A2,4.00E+12,grey atramentized,with non-slip plastic coating,1,19 - 60 Ø mm,"1,8 Ø mm",straight tips,180 mm,170 g,,,,,
49 21 A21,4.00E+12,grey atramentized,with non-slip plastic coating,2,19 - 60 Ø mm,"1,8 Ø mm",bent tips,165 mm,169 g,,,,,
No.,EAN,Head,Handles,Style,Pliers,,,L3,T1,W3,W4,T2,,
25 02 160,4.00E+12,polished,with multi-component grips,0,black atramentized,"2,5 Ø mm","1,6 Ø mm","50,0 mm","9,0 mm","16,5 mm","3,0 mm","2,5 mm",160 mm,144 g
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
No.,25 02 160,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Head,polished,,,,,,,,,,,,,
Handles,with multi-component grips,,,,,,,,,,,,,
Style,0,,,,,,,,,,,,,
Pliers,black atramentized,,,,,,,,,,,,,
,"2,5 Ø mm",,,,,,,,,,,,,
,"1,6 Ø mm",,,,,,,,,,,,,
L3,"50,0 mm",,,,,,,,,,,,,
T1,"9,0 mm",,,,,,,,,,,,,
W3,"16,5 mm",,,,,,,,,,,,,
W4,"3,0 mm",,,,,,,,,,,,,
T2,"2,5 mm",,,,,,,,,,,,,
,160 mm,,,,,,,,,,,,,
,144 g,,,,,,,,,,,,,
No.,26 12 200,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Head,polished,,,,,,,,,,,,,
Handles,with multi-component grips,,,,,,,,,,,,,
Pliers,black atramentized,,,,,,,,,,,,,
Style,1,,,,,,,,,,,,,
,"3,2 Ø mm",,,,,,,,,,,,,
,"2,2 Ø mm",,,,,,,,,,,,,
T1,"9,5 mm",,,,,,,,,,,,,
W3,"18,0 mm",,,,,,,,,,,,,
W4,"3,0 mm",,,,,,,,,,,,,
L3,"73,0 mm",,,,,,,,,,,,,
T2,"2,5 mm",,,,,,,,,,,,,
Nominal size,200 mm,,,,,,,,,,,,,
,200 mm,,,,,,,,,,,,,
,201 g,,,,,,,,,,,,,
No.,26 16 200,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Pliers,chrome plated,,,,,,,,,,,,,
Handles,"insulated with multi-component grips, VDE-tested",,,,,,,,,,,,,
Head,,,,,,,,,,,,,,
Style,1,,,,,,,,,,,,,
Insulation standard,IEC 60900 DIN EN 60900,,,,,,,,,,,,,
,"3,2 Ø mm",,,,,,,,,,,,,
,"2,2 Ø mm",,,,,,,,,,,,,
L3,"73,0 mm",,,,,,,,,,,,,
T1,"9,5 mm",,,,,,,,,,,,,
W3,"18,0 mm",,,,,,,,,,,,,
W4,"3,0 mm",,,,,,,,,,,,,
T2,"2,5 mm",,,,,,,,,,,,,
Nominal size,200 mm,,,,,,,,,,,,,
,200 mm,,,,,,,,,,,,,
,206 g,,,,,,,,,,,,,
No.,26 22 200,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Head,polished,,,,,,,,,,,,,
Handles,with multi-component grips,,,,,,,,,,,,,
Pliers,black atramentized,,,,,,,,,,,,,
Style,2,,,,,,,,,,,,,
,"3,2 Ø mm",,,,,,,,,,,,,
,"2,2 Ø mm",,,,,,,,,,,,,
L3,"73,0 mm",,,,,,,,,,,,,
T1,"9,5 mm",,,,,,,,,,,,,
W3,18 mm,,,,,,,,,,,,,
W4,"3,0 mm",,,,,,,,,,,,,
T2,"2,5 mm",,,,,,,,,,,,,
L4,"23,0 mm",,,,,,,,,,,,,
,40 °,,,,,,,,,,,,,
,200 mm,,,,,,,,,,,,,
,197 g,,,,,,,,,,,,,
No.,98 52,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Handle,"insulating multi-component handle, VDE-tested",,,,,,,,,,,,,
Insulation standard,IEC 60900 DIN EN 60900,,,,,,,,,,,,,
Blade length,50 mm,,,,,,,,,,,,,
Nominal size,185 mm,,,,,,,,,,,,,
,190 mm,,,,,,,,,,,,,
,67 g,,,,,,,,,,,,,
No.,98 55,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Handle,"insulating multi-component handle, VDE-tested",,,,,,,,,,,,,
Insulation standard,IEC 60900 DIN EN 60900,,,,,,,,,,,,,
Blade length,38 mm,,,,,,,,,,,,,
Radius,"23,5 mm",,,,,,,,,,,,,
,180 mm,,,,,,,,,,,,,
,68 g,,,,,,,,,,,,,
No.,00 21 20,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
,7225 g,,,,,,,,,,,,,
No.,13 86 200,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Head,,,,,,,,,,,,,,
Pliers,chrome plated,,,,,,,,,,,,,
Handles,"insulated with multi-component grips, VDE-tested",,,,,,,,,,,,,
Insulation standard,IEC 60900 DIN EN 60900,,,,,,,,,,,,,
,15 Ø mm,,,,,,,,,,,,,
,50 mm²,,,,,,,,,,,,,
Stripping capacity for cross-sections,"0,75 - 1,5 + 2,5 mm²",,,,,,,,,,,,,
Capacity in square millimetres,"0,5 - 2,5 mm²",,,,,,,,,,,,,
AWG,Jan-00,,,,,,,,,,,,,
,200 mm,,,,,,,,,,,,,
,280 g,,,,,,,,,,,,,
No.,70 06 160,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Pliers,chrome plated,,,,,,,,,,,,,
Handles,"insulated with multi-component grips, VDE-tested",,,,,,,,,,,,,
Style,0,,,,,,,,,,,,,
Head,,,,,,,,,,,,,,
Insulation standard,IEC 60900 DIN EN 60900,,,,,,,,,,,,,
,"4,0 Ø mm",,,,,,,,,,,,,
,"3,0 Ø mm",,,,,,,,,,,,,
,"2,0 Ø mm",,,,,,,,,,,,,
Nominal size,160 mm,,,,,,,,,,,,,
,160 mm,,,,,,,,,,,,,
,216 g,,,,,,,,,,,,,
No.,70 06 180,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Pliers,chrome plated,,,,,,,,,,,,,
Handles,"insulated with multi-component grips, VDE-tested",,,,,,,,,,,,,
Style,0,,,,,,,,,,,,,
Head,,,,,,,,,,,,,,
Insulation standard,IEC 60900 DIN EN 60900,,,,,,,,,,,,,
,"4,0 Ø mm",,,,,,,,,,,,,
,"3,0 Ø mm",,,,,,,,,,,,,
,"2,5 Ø mm",,,,,,,,,,,,,
,180 mm,,,,,,,,,,,,,
,254 g,,,,,,,,,,,,,
No.,95 16 165,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Tool,chrome plated,,,,,,,,,,,,,
Handles,"insulated with multi-component grips, VDE-tested",,,,,,,,,,,,,
Style,1,,,,,,,,,,,,,
Insulation standard,IEC 60900 DIN EN 60900,,,,,,,,,,,,,
,15 Ø mm,,,,,,,,,,,,,
,50 mm²,,,,,,,,,,,,,
AWG,Jan-00,,,,,,,,,,,,,
,165 mm,,,,,,,,,,,,,
,262 g,,,,,,,,,,,,,
No.,95 16 200,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Tool,chrome plated,,,,,,,,,,,,,
Handles,"insulated with multi-component grips, VDE-tested",,,,,,,,,,,,,
Insulation standard,IEC 60900 DIN EN 60900,,,,,,,,,,,,,
,20 Ø mm,,,,,,,,,,,,,
,70 mm²,,,,,,,,,,,,,
AWG,Feb-00,,,,,,,,,,,,,
Nominal size,200 mm,,,,,,,,,,,,,
,200 mm,,,,,,,,,,,,,
,340 g,,,,,,,,,,,,,
No.,95 11 165,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Tool,burnished,,,,,,,,,,,,,
Handles,plastic coated,,,,,,,,,,,,,
Style,1,,,,,,,,,,,,,
,15 Ø mm,,,,,,,,,,,,,
,50 mm²,,,,,,,,,,,,,
AWG,Jan-00,,,,,,,,,,,,,
,165 mm,,,,,,,,,,,,,
,215 g,,,,,,,,,,,,,
No.,95 12 165,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Tool,burnished,,,,,,,,,,,,,
Handles,with multi-component grips,,,,,,,,,,,,,
Style,1,,,,,,,,,,,,,
,15 Ø mm,,,,,,,,,,,,,
,50 mm²,,,,,,,,,,,,,
AWG,Jan-00,,,,,,,,,,,,,
,165 mm,,,,,,,,,,,,,
,250 g,,,,,,,,,,,,,
No.,95 12 200,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Tool,burnished,,,,,,,,,,,,,
Handles,with multi-component grips,,,,,,,,,,,,,
,20 Ø mm,,,,,,,,,,,,,
,70 mm²,,,,,,,,,,,,,
AWG,Feb-00,,,,,,,,,,,,,
,200 mm,,,,,,,,,,,,,
,324 g,,,,,,,,,,,,,
No.,95 31 250,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Tool,black lacquered,,,,,,,,,,,,,
Handles,with multi-component grips,,,,,,,,,,,,,
,32 Ø mm,,,,,,,,,,,,,
,240 mm²,,,,,,,,,,,,,
MCM,500,,,,,,,,,,,,,
,250 mm,,,,,,,,,,,,,
,676 g,,,,,,,,,,,,,
